observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0,0,13,4259,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.03333333333333333,1,13,4260,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.06666666666666667,2,13,4261,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.1,3,13,4262,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.13333333333333333,4,13,4263,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.16666666666666666,5,13,4264,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.19999999999999998,6,13,4265,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.2333333333333333,7,13,4266,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.26666666666666666,8,13,4267,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.3,9,13,4268,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.3333333333333333,10,13,4269,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.36666666666666664,11,13,4270,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.39999999999999997,12,13,4271,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.4333333333333333,13,13,4272,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.4666666666666666,14,13,4273,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.49999999999999994,15,13,4274,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.5333333333333333,16,13,4275,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.5666666666666667,17,13,4276,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.6,18,13,4277,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.6333333333333333,19,13,4278,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.6666666666666666,20,13,4279,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.7,21,13,4280,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.7333333333333333,22,13,4281,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.7666666666666666,23,13,4282,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.7999999999999999,24,13,4283,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.8333333333333333,25,13,4284,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.8666666666666666,26,13,4285,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.8999999999999999,27,13,4286,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.9333333333333332,28,13,4287,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.9666666666666666,29,13,4288,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",0.9999999999999999,30,13,4289,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",1.0333333333333332,31,13,4290,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",1.0666666666666667,32,13,4291,0
"[17.1, -43.24, 119.41, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.1, -43.23, 119.4, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]",1.1,33,13,4292,0
"[17.1, -43.23, 119.4, 115.29, -95.12, 184.31, 0.0, 0.0, 0.0]","[17.02, -43.14, 119.32, 115.26, -95.06, 184.3, 0.0, 0.0, 0.0]",1.1333333333333335,34,13,4293,0
"[17.02, -43.14, 119.32, 115.26, -95.06, 184.3, 0.0, 0.0, 0.0]","[16.87, -42.95, 119.16, 115.19, -94.95, 184.27, 0.0, 0.0, 0.0]",1.166666666666667,35,13,4294,0
"[16.87, -42.95, 119.16, 115.19, -94.95, 184.27, 0.0, 0.0, 0.0]","[16.17, -42.07, 118.39, 114.88, -94.41, 184.13, 0.0, 0.0, 0.0]",1.2000000000000004,36,13,4295,0
"[16.17, -42.07, 118.39, 114.88, -94.41, 184.13, 0.0, 0.0, 0.0]","[15.54, -41.3, 117.71, 114.61, -93.93, 184.0, 0.0, 0.0, 0.0]",1.2333333333333338,37,13,4296,0
"[15.54, -41.3, 117.71, 114.61, -93.93, 184.0, 0.0, 0.0, 0.0]","[14.27, -39.71, 116.31, 114.05, -92.95, 183.75, 0.0, 0.0, 0.0]",1.2666666666666673,38,13,4297,0
"[14.27, -39.71, 116.31, 114.05, -92.95, 183.75, 0.0, 0.0, 0.0]","[12.7, -37.76, 114.6, 113.38, -91.75, 183.43, 0.0, 0.0, 0.0]",1.3000000000000007,39,13,4298,0
"[12.7, -37.76, 114.6, 113.38, -91.75, 183.43, 0.0, 0.0, 0.0]","[10.98, -35.62, 112.72, 112.63, -90.44, 183.09, 0.0, 0.0, 0.0]",1.3333333333333341,40,13,4299,0
"[10.98, -35.62, 112.72, 112.63, -90.44, 183.09, 0.0, 0.0, 0.0]","[9.23, -33.44, 110.8, 111.87, -89.11, 182.75, 0.0, 0.0, 0.0]",1.3666666666666676,41,13,4300,0
"[9.23, -33.44, 110.8, 111.87, -89.11, 182.75, 0.0, 0.0, 0.0]","[8.07, -32.0, 109.54, 111.37, -88.22, 182.52, 0.0, 0.0, 0.0]",1.400000000000001,42,13,4301,0
"[8.07, -32.0, 109.54, 111.37, -88.22, 182.52, 0.0, 0.0, 0.0]","[5.76, -29.13, 107.01, 110.37, -86.46, 182.06, 0.0, 0.0, 0.0]",1.4333333333333345,43,13,4302,0
"[5.76, -29.13, 107.01, 110.37, -86.46, 182.06, 0.0, 0.0, 0.0]","[4.57, -27.64, 105.71, 109.85, -85.55, 181.82, 0.0, 0.0, 0.0]",1.466666666666668,44,13,4303,0
"[4.57, -27.64, 105.71, 109.85, -85.55, 181.82, 0.0, 0.0, 0.0]","[3.41, -26.21, 104.44, 109.35, -84.66, 181.6, 0.0, 0.0, 0.0]",1.5000000000000013,45,13,4304,0
