observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0,0,3,4981,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.03333333333333333,1,3,4982,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.06666666666666667,2,3,4983,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.1,3,3,4984,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.13333333333333333,4,3,4985,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.16666666666666666,5,3,4986,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.19999999999999998,6,3,4987,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.2333333333333333,7,3,4988,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.26666666666666666,8,3,4989,0
"[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]","[-15.66, -8.64, 111.34, 82.99, -108.66, 314.35, 0.0, 1.0, 0.0]",0.3,9,3,4990,0
