observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0,0,0,7053,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.03333333333333333,1,0,7054,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.06666666666666667,2,0,7055,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.1,3,0,7056,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.13333333333333333,4,0,7057,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.16666666666666666,5,0,7058,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.19999999999999998,6,0,7059,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.2333333333333333,7,0,7060,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.26666666666666666,8,0,7061,0
"[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]","[81.12, 15.78, 83.29, 73.91, 45.34, 174.3, 1.0, 1.0, 0.0]",0.3,9,0,7062,0
