observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0,0,3,6255,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.03333333333333333,1,3,6256,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.06666666666666667,2,3,6257,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.1,3,3,6258,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.13333333333333333,4,3,6259,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.16666666666666666,5,3,6260,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.19999999999999998,6,3,6261,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.2333333333333333,7,3,6262,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.26666666666666666,8,3,6263,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.3,9,3,6264,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.3333333333333333,10,3,6265,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.36666666666666664,11,3,6266,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.39999999999999997,12,3,6267,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.4333333333333333,13,3,6268,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.4666666666666666,14,3,6269,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.49999999999999994,15,3,6270,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.5333333333333333,16,3,6271,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.5666666666666667,17,3,6272,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.6,18,3,6273,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.6333333333333333,19,3,6274,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.6666666666666666,20,3,6275,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.7,21,3,6276,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.7333333333333333,22,3,6277,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.7666666666666666,23,3,6278,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.7999999999999999,24,3,6279,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.8333333333333333,25,3,6280,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.8666666666666666,26,3,6281,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.8999999999999999,27,3,6282,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.9333333333333332,28,3,6283,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.9666666666666666,29,3,6284,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",0.9999999999999999,30,3,6285,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",1.0333333333333332,31,3,6286,0
"[27.71, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.69, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",1.0666666666666667,32,3,6287,0
"[27.69, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.61, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]",1.1,33,3,6288,0
"[27.61, -17.58, 66.98, 164.96, -83.19, 183.35, 1.0, 1.0, 0.0]","[27.08, -17.58, 67.01, 164.94, -83.19, 183.35, 1.0, 1.0, 0.0]",1.1333333333333335,34,3,6289,0
"[27.08, -17.58, 67.01, 164.94, -83.19, 183.35, 1.0, 1.0, 0.0]","[26.14, -17.57, 67.06, 164.91, -83.19, 183.35, 1.0, 1.0, 0.0]",1.166666666666667,35,3,6290,0
"[26.14, -17.57, 67.06, 164.91, -83.19, 183.35, 1.0, 1.0, 0.0]","[24.54, -17.55, 67.13, 164.86, -83.19, 183.35, 1.0, 1.0, 0.0]",1.2000000000000004,36,3,6291,0
"[24.54, -17.55, 67.13, 164.86, -83.19, 183.35, 1.0, 1.0, 0.0]","[23.09, -17.54, 67.2, 164.81, -83.19, 183.35, 1.0, 1.0, 0.0]",1.2333333333333338,37,3,6292,0
"[23.09, -17.54, 67.2, 164.81, -83.19, 183.35, 1.0, 1.0, 0.0]","[20.36, -17.52, 67.33, 164.72, -83.19, 183.35, 1.0, 1.0, 0.0]",1.2666666666666673,38,3,6293,0
"[20.36, -17.52, 67.33, 164.72, -83.19, 183.35, 1.0, 1.0, 0.0]","[17.16, -17.49, 67.49, 164.62, -83.2, 183.35, 1.0, 1.0, 0.0]",1.3000000000000007,39,3,6294,0
"[17.16, -17.49, 67.49, 164.62, -83.2, 183.35, 1.0, 1.0, 0.0]","[13.68, -17.46, 67.65, 164.51, -83.2, 183.35, 1.0, 1.0, 0.0]",1.3333333333333341,40,3,6295,0
"[13.68, -17.46, 67.65, 164.51, -83.2, 183.35, 1.0, 1.0, 0.0]","[10.07, -17.42, 67.83, 164.39, -83.2, 183.35, 1.0, 1.0, 0.0]",1.3666666666666676,41,3,6296,0
"[10.07, -17.42, 67.83, 164.39, -83.2, 183.35, 1.0, 1.0, 0.0]","[7.68, -17.4, 67.94, 164.31, -83.2, 183.35, 1.0, 1.0, 0.0]",1.400000000000001,42,3,6297,0
"[7.68, -17.4, 67.94, 164.31, -83.2, 183.35, 1.0, 1.0, 0.0]","[4.06, -17.37, 68.12, 164.19, -83.2, 183.35, 1.0, 1.0, 0.0]",1.4333333333333345,43,3,6298,0
