observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0,0,2,6014,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.03333333333333333,1,2,6015,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.06666666666666667,2,2,6016,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.1,3,2,6017,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.13333333333333333,4,2,6018,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.16666666666666666,5,2,6019,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.19999999999999998,6,2,6020,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.2333333333333333,7,2,6021,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.26666666666666666,8,2,6022,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.3,9,2,6023,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.3333333333333333,10,2,6024,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.36666666666666664,11,2,6025,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.39999999999999997,12,2,6026,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.4333333333333333,13,2,6027,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.4666666666666666,14,2,6028,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.49999999999999994,15,2,6029,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.5333333333333333,16,2,6030,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.5666666666666667,17,2,6031,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.6,18,2,6032,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.6333333333333333,19,2,6033,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.6666666666666666,20,2,6034,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.7,21,2,6035,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.7333333333333333,22,2,6036,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.7666666666666666,23,2,6037,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.7999999999999999,24,2,6038,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.8333333333333333,25,2,6039,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.8666666666666666,26,2,6040,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.8999999999999999,27,2,6041,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.9333333333333332,28,2,6042,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.9666666666666666,29,2,6043,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",0.9999999999999999,30,2,6044,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",1.0333333333333332,31,2,6045,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",1.0666666666666667,32,2,6046,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]",1.1,33,2,6047,0
"[10.47, -66.81, 110.9, 143.58, -91.97, 179.75, 1.0, 1.0, 0.0]","[10.52, -66.81, 110.92, 143.55, -91.97, 179.74, 1.0, 1.0, 0.0]",1.1333333333333335,34,2,6048,0
"[10.52, -66.81, 110.92, 143.55, -91.97, 179.74, 1.0, 1.0, 0.0]","[10.63, -66.8, 110.97, 143.47, -91.99, 179.72, 1.0, 1.0, 0.0]",1.166666666666667,35,2,6049,0
"[10.63, -66.8, 110.97, 143.47, -91.99, 179.72, 1.0, 1.0, 0.0]","[11.23, -66.76, 111.24, 143.08, -92.05, 179.61, 1.0, 1.0, 0.0]",1.2000000000000004,36,2,6050,0
"[11.23, -66.76, 111.24, 143.08, -92.05, 179.61, 1.0, 1.0, 0.0]","[11.78, -66.73, 111.49, 142.71, -92.11, 179.5, 1.0, 1.0, 0.0]",1.2333333333333338,37,2,6051,0
"[11.78, -66.73, 111.49, 142.71, -92.11, 179.5, 1.0, 1.0, 0.0]","[13.33, -66.63, 112.18, 141.68, -92.28, 179.21, 1.0, 1.0, 0.0]",1.2666666666666673,38,2,6052,0
"[13.33, -66.63, 112.18, 141.68, -92.28, 179.21, 1.0, 1.0, 0.0]","[14.24, -66.57, 112.59, 141.08, -92.37, 179.04, 1.0, 1.0, 0.0]",1.3000000000000007,39,2,6053,0
"[14.24, -66.57, 112.59, 141.08, -92.37, 179.04, 1.0, 1.0, 0.0]","[16.16, -66.45, 113.46, 139.8, -92.58, 178.68, 1.0, 1.0, 0.0]",1.3333333333333341,40,2,6054,0
"[16.16, -66.45, 113.46, 139.8, -92.58, 178.68, 1.0, 1.0, 0.0]","[17.51, -66.34, 114.07, 138.88, -92.72, 178.43, 1.0, 1.0, 0.0]",1.3666666666666676,41,2,6055,0
"[17.51, -66.34, 114.07, 138.88, -92.72, 178.43, 1.0, 1.0, 0.0]","[18.69, -66.17, 114.61, 138.0, -92.85, 178.21, 1.0, 1.0, 0.0]",1.400000000000001,42,2,6056,0
"[18.69, -66.17, 114.61, 138.0, -92.85, 178.21, 1.0, 1.0, 0.0]","[19.3, -66.0, 114.89, 137.47, -92.93, 178.1, 1.0, 1.0, 0.0]",1.4333333333333345,43,2,6057,0
"[19.3, -66.0, 114.89, 137.47, -92.93, 178.1, 1.0, 1.0, 0.0]","[19.9, -65.64, 115.19, 136.76, -93.01, 177.99, 1.0, 1.0, 0.0]",1.466666666666668,44,2,6058,0
"[19.9, -65.64, 115.19, 136.76, -93.01, 177.99, 1.0, 1.0, 0.0]","[20.16, -65.1, 115.35, 136.05, -93.08, 177.94, 1.0, 1.0, 0.0]",1.5000000000000013,45,2,6059,0
"[20.16, -65.1, 115.35, 136.05, -93.08, 177.94, 1.0, 1.0, 0.0]","[20.22, -64.32, 115.44, 135.23, -93.14, 177.93, 1.0, 1.0, 0.0]",1.5333333333333348,46,2,6060,0
"[20.22, -64.32, 115.44, 135.23, -93.14, 177.93, 1.0, 1.0, 0.0]","[20.22, -63.68, 115.5, 134.59, -93.19, 177.92, 1.0, 1.0, 0.0]",1.5666666666666682,47,2,6061,0
"[20.22, -63.68, 115.5, 134.59, -93.19, 177.92, 1.0, 1.0, 0.0]","[20.2, -62.54, 115.59, 133.45, -93.26, 177.92, 1.0, 1.0, 0.0]",1.6000000000000016,48,2,6062,0
"[20.2, -62.54, 115.59, 133.45, -93.26, 177.92, 1.0, 1.0, 0.0]","[20.18, -60.79, 115.73, 131.71, -93.39, 177.92, 1.0, 1.0, 0.0]",1.633333333333335,49,2,6063,0
"[20.18, -60.79, 115.73, 131.71, -93.39, 177.92, 1.0, 1.0, 0.0]","[20.16, -59.41, 115.84, 130.33, -93.48, 177.91, 1.0, 1.0, 0.0]",1.6666666666666685,50,2,6064,0
"[20.16, -59.41, 115.84, 130.33, -93.48, 177.91, 1.0, 1.0, 0.0]","[20.15, -58.42, 115.92, 129.36, -93.55, 177.91, 1.0, 1.0, 0.0]",1.700000000000002,51,2,6065,0
"[20.15, -58.42, 115.92, 129.36, -93.55, 177.91, 1.0, 1.0, 0.0]","[20.12, -56.03, 116.11, 126.96, -93.72, 177.9, 1.0, 1.0, 0.0]",1.7333333333333354,52,2,6066,0
"[20.12, -56.03, 116.11, 126.96, -93.72, 177.9, 1.0, 1.0, 0.0]","[20.09, -54.12, 116.27, 125.06, -93.85, 177.9, 1.0, 1.0, 0.0]",1.7666666666666688,53,2,6067,0
"[20.09, -54.12, 116.27, 125.06, -93.85, 177.9, 1.0, 1.0, 0.0]","[20.08, -53.13, 116.35, 124.08, -93.92, 177.9, 1.0, 1.0, 0.0]",1.8000000000000023,54,2,6068,0
"[20.08, -53.13, 116.35, 124.08, -93.92, 177.9, 1.0, 1.0, 0.0]","[20.06, -51.72, 116.46, 122.67, -94.02, 177.89, 1.0, 1.0, 0.0]",1.8333333333333357,55,2,6069,0
"[20.06, -51.72, 116.46, 122.67, -94.02, 177.89, 1.0, 1.0, 0.0]","[20.05, -50.27, 116.58, 121.22, -94.12, 177.89, 1.0, 1.0, 0.0]",1.8666666666666691,56,2,6070,0
"[20.05, -50.27, 116.58, 121.22, -94.12, 177.89, 1.0, 1.0, 0.0]","[20.02, -48.34, 116.74, 119.29, -94.25, 177.89, 1.0, 1.0, 0.0]",1.9000000000000026,57,2,6071,0
"[20.02, -48.34, 116.74, 119.29, -94.25, 177.89, 1.0, 1.0, 0.0]","[20.01, -47.38, 116.81, 118.34, -94.32, 177.88, 1.0, 1.0, 0.0]",1.933333333333336,58,2,6072,0
"[20.01, -47.38, 116.81, 118.34, -94.32, 177.88, 1.0, 1.0, 0.0]","[19.99, -45.93, 116.93, 116.9, -94.42, 177.88, 1.0, 1.0, 0.0]",1.9666666666666694,59,2,6073,0
"[19.99, -45.93, 116.93, 116.9, -94.42, 177.88, 1.0, 1.0, 0.0]","[19.98, -44.49, 117.05, 115.46, -94.52, 177.88, 1.0, 1.0, 0.0]",2.0000000000000027,60,2,6074,0
"[19.98, -44.49, 117.05, 115.46, -94.52, 177.88, 1.0, 1.0, 0.0]","[19.96, -43.04, 117.16, 114.02, -94.62, 177.87, 1.0, 1.0, 0.0]",2.033333333333336,61,2,6075,0
"[19.96, -43.04, 117.16, 114.02, -94.62, 177.87, 1.0, 1.0, 0.0]","[19.95, -42.09, 117.24, 113.07, -94.69, 177.87, 1.0, 1.0, 0.0]",2.066666666666669,62,2,6076,0
"[19.95, -42.09, 117.24, 113.07, -94.69, 177.87, 1.0, 1.0, 0.0]","[19.92, -40.19, 117.4, 111.16, -94.82, 177.86, 1.0, 1.0, 0.0]",2.1000000000000023,63,2,6077,0
"[19.92, -40.19, 117.4, 111.16, -94.82, 177.86, 1.0, 1.0, 0.0]","[19.91, -38.74, 117.51, 109.72, -94.92, 177.86, 1.0, 1.0, 0.0]",2.1333333333333355,64,2,6078,0
"[19.91, -38.74, 117.51, 109.72, -94.92, 177.86, 1.0, 1.0, 0.0]","[19.89, -37.79, 117.59, 108.77, -94.99, 177.86, 1.0, 1.0, 0.0]",2.1666666666666687,65,2,6079,0
"[19.89, -37.79, 117.59, 108.77, -94.99, 177.86, 1.0, 1.0, 0.0]","[19.87, -35.85, 117.75, 106.84, -95.12, 177.85, 1.0, 1.0, 0.0]",2.200000000000002,66,2,6080,0
"[19.87, -35.85, 117.75, 106.84, -95.12, 177.85, 1.0, 1.0, 0.0]","[19.87, -35.36, 117.79, 106.35, -95.16, 177.85, 1.0, 1.0, 0.0]",2.233333333333335,67,2,6081,0
"[19.87, -35.36, 117.79, 106.35, -95.16, 177.85, 1.0, 1.0, 0.0]","[19.85, -33.94, 117.9, 104.94, -95.26, 177.85, 1.0, 1.0, 0.0]",2.2666666666666684,68,2,6082,0
"[19.85, -33.94, 117.9, 104.94, -95.26, 177.85, 1.0, 1.0, 0.0]","[19.83, -32.5, 118.02, 103.49, -95.36, 177.85, 1.0, 1.0, 0.0]",2.3000000000000016,69,2,6083,0
"[19.83, -32.5, 118.02, 103.49, -95.36, 177.85, 1.0, 1.0, 0.0]","[19.81, -31.05, 118.14, 102.05, -95.46, 177.84, 1.0, 1.0, 0.0]",2.333333333333335,70,2,6084,0
"[19.81, -31.05, 118.14, 102.05, -95.46, 177.84, 1.0, 1.0, 0.0]","[19.78, -28.65, 118.33, 99.66, -95.63, 177.84, 1.0, 1.0, 0.0]",2.366666666666668,71,2,6085,0
"[19.78, -28.65, 118.33, 99.66, -95.63, 177.84, 1.0, 1.0, 0.0]","[19.76, -26.71, 118.49, 97.73, -95.76, 177.83, 1.0, 1.0, 0.0]",2.4000000000000012,72,2,6086,0
"[19.76, -26.71, 118.49, 97.73, -95.76, 177.83, 1.0, 1.0, 0.0]","[19.75, -25.76, 118.56, 96.78, -95.83, 177.83, 1.0, 1.0, 0.0]",2.4333333333333345,73,2,6087,0
"[19.75, -25.76, 118.56, 96.78, -95.83, 177.83, 1.0, 1.0, 0.0]","[19.73, -24.31, 118.68, 95.33, -95.93, 177.83, 1.0, 1.0, 0.0]",2.4666666666666677,74,2,6088,0
"[19.73, -24.31, 118.68, 95.33, -95.93, 177.83, 1.0, 1.0, 0.0]","[19.71, -22.87, 118.8, 93.89, -96.03, 177.82, 1.0, 1.0, 0.0]",2.500000000000001,75,2,6089,0
"[19.71, -22.87, 118.8, 93.89, -96.03, 177.82, 1.0, 1.0, 0.0]","[19.7, -21.42, 118.92, 92.45, -96.13, 177.82, 1.0, 1.0, 0.0]",2.533333333333334,76,2,6090,0
"[19.7, -21.42, 118.92, 92.45, -96.13, 177.82, 1.0, 1.0, 0.0]","[19.68, -20.01, 119.03, 91.04, -96.23, 177.81, 1.0, 1.0, 0.0]",2.5666666666666673,77,2,6091,0
"[19.68, -20.01, 119.03, 91.04, -96.23, 177.81, 1.0, 1.0, 0.0]","[19.66, -18.56, 119.15, 89.6, -96.33, 177.81, 1.0, 1.0, 0.0]",2.6000000000000005,78,2,6092,0
"[19.66, -18.56, 119.15, 89.6, -96.33, 177.81, 1.0, 1.0, 0.0]","[19.64, -16.63, 119.3, 87.67, -96.46, 177.81, 1.0, 1.0, 0.0]",2.6333333333333337,79,2,6093,0
"[19.64, -16.63, 119.3, 87.67, -96.46, 177.81, 1.0, 1.0, 0.0]","[19.61, -14.72, 119.46, 85.76, -96.6, 177.8, 1.0, 1.0, 0.0]",2.666666666666667,80,2,6094,0
"[19.61, -14.72, 119.46, 85.76, -96.6, 177.8, 1.0, 1.0, 0.0]","[19.6, -13.28, 119.57, 84.32, -96.7, 177.8, 1.0, 1.0, 0.0]",2.7,81,2,6095,0
"[19.6, -13.28, 119.57, 84.32, -96.7, 177.8, 1.0, 1.0, 0.0]","[19.59, -12.32, 119.65, 83.37, -96.76, 177.8, 1.0, 1.0, 0.0]",2.7333333333333334,82,2,6096,0
"[19.59, -12.32, 119.65, 83.37, -96.76, 177.8, 1.0, 1.0, 0.0]","[19.57, -10.84, 119.77, 81.9, -96.87, 177.79, 1.0, 1.0, 0.0]",2.7666666666666666,83,2,6097,0
