observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0,0,1,5797,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.03333333333333333,1,1,5798,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.06666666666666667,2,1,5799,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.1,3,1,5800,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.13333333333333333,4,1,5801,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.16666666666666666,5,1,5802,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.19999999999999998,6,1,5803,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.2333333333333333,7,1,5804,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.26666666666666666,8,1,5805,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.3,9,1,5806,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.3333333333333333,10,1,5807,0
