observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0,0,4,6479,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.03333333333333333,1,4,6480,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.06666666666666667,2,4,6481,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.1,3,4,6482,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.13333333333333333,4,4,6483,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.16666666666666666,5,4,6484,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.19999999999999998,6,4,6485,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.2333333333333333,7,4,6486,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.26666666666666666,8,4,6487,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.3,9,4,6488,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.3333333333333333,10,4,6489,0
"[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]","[-49.46, -16.9, 70.69, 162.46, -83.23, 183.35, 1.0, 1.0, 0.0]",0.36666666666666664,11,4,6490,0
