observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0,0,0,5597,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.03333333333333333,1,0,5598,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.06666666666666667,2,0,5599,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.1,3,0,5600,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.13333333333333333,4,0,5601,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.16666666666666666,5,0,5602,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.19999999999999998,6,0,5603,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.2333333333333333,7,0,5604,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.26666666666666666,8,0,5605,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.3,9,0,5606,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.3333333333333333,10,0,5607,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.36666666666666664,11,0,5608,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.39999999999999997,12,0,5609,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.4333333333333333,13,0,5610,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.4666666666666666,14,0,5611,0
"[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]","[-90.0, -42.89, 119.32, 115.82, -89.27, 183.96, 0.0, 0.0, 0.0]",0.49999999999999994,15,0,5612,0
