observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0,0,0,4325,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.03333333333333333,1,0,4326,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.06666666666666667,2,0,4327,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.1,3,0,4328,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.13333333333333333,4,0,4329,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.16666666666666666,5,0,4330,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.19999999999999998,6,0,4331,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.2333333333333333,7,0,4332,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.26666666666666666,8,0,4333,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.3,9,0,4334,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.3333333333333333,10,0,4335,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.36666666666666664,11,0,4336,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.39999999999999997,12,0,4337,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.4333333333333333,13,0,4338,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.4666666666666666,14,0,4339,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.49999999999999994,15,0,4340,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.5333333333333333,16,0,4341,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.5666666666666667,17,0,4342,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.6,18,0,4343,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.6333333333333333,19,0,4344,0
"[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]","[15.54, -32.34, 98.25, 121.39, -86.72, 198.35, 0.0, 0.0, 0.0]",0.6666666666666666,20,0,4345,0
