observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0,0,2,4809,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.03333333333333333,1,2,4810,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.06666666666666667,2,2,4811,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.1,3,2,4812,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.13333333333333333,4,2,4813,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.16666666666666666,5,2,4814,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.19999999999999998,6,2,4815,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.2333333333333333,7,2,4816,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.26666666666666666,8,2,4817,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.3,9,2,4818,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.3333333333333333,10,2,4819,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.36666666666666664,11,2,4820,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.39999999999999997,12,2,4821,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.4333333333333333,13,2,4822,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.4666666666666666,14,2,4823,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.49999999999999994,15,2,4824,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.5333333333333333,16,2,4825,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.5666666666666667,17,2,4826,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.6,18,2,4827,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.6333333333333333,19,2,4828,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.6666666666666666,20,2,4829,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.7,21,2,4830,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.7333333333333333,22,2,4831,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.7666666666666666,23,2,4832,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.7999999999999999,24,2,4833,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.8333333333333333,25,2,4834,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.8666666666666666,26,2,4835,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.8999999999999999,27,2,4836,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.9333333333333332,28,2,4837,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.9666666666666666,29,2,4838,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",0.9999999999999999,30,2,4839,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",1.0333333333333332,31,2,4840,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",1.0666666666666667,32,2,4841,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",1.1,33,2,4842,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",1.1333333333333335,34,2,4843,0
"[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]","[-101.77, 7.67, 98.61, 74.29, -98.01, 180.51, 0.0, 1.0, 0.0]",1.166666666666667,35,2,4844,0
