observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-38.550, 7.559, 88.363, 88.758, -127.289, 238.446, 0.0, 1.0, 0.0]",,0.033333333,1,11,3406,0
"[-38.550, 7.559, 88.363, 88.758, -127.289, 238.446, 0.0, 1.0, 0.0]",,0.033333333,1,11,3406,0
"[-38.550, 7.559, 88.363, 88.758, -127.289, 238.446, 0.0, 1.0, 0.0]",,0.033333333,1,11,3406,0
"[-29.914, 11.699, 65.077, 139.797, -99.813, 211.434, 0.0, 1.0, 0.0]",,0.033333333,1,11,3406,0
"[-38.547, -1.755, 86.72, 99.329, -126.744, 189.697, 0.0, 1.0, 0.0]",,0.066666667,2,11,3407,0
"[-38.547, -1.755, 86.72, 99.329, -126.744, 189.697, 0.0, 1.0, 0.0]",,0.066666667,2,11,3407,0
"[-88.418, 2.478, 101.923, 79.275, -106.985, 181.190, 0.0, 1.0, 0.0]",,0.1,3,11,3408,0
"[-88.418, 2.478, 101.923, 79.275, -106.985, 181.19, 0.0, 1.0, 0.0]",,0.1,3,12,3997,0
"[-88.694, 28.919, 123.579, 31.139, -107.316, 181.333, 0.0, 1.0, 0.0]",,0.133333333,4,12,3998,0
"[-88.694, 28.919, 123.579, 31.139, -107.316, 181.333, 0.0, 0.0, 0.0]",,0.166666667,5,12,3999,0
"[-91.979, 23.547, 131.343, 28.81, -110.599, 181.129, 0.0, 0.0, 0.0]",,0.2,6,12,4000,0
"[-91.979, 23.547, 131.343, 28.81, -110.599, 181.129, 0.0, 0.0, 0.0]",,0.2,6,12,4000,0
"[-90.000, -42.887, 119.316, 115.824, -89.269, 183.955, 0.0, 0.0, 0.0]",,0.233333333,7,12,4001,0
