observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0,0,2,649,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.03333333333333333,1,2,650,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.06666666666666667,2,2,651,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.1,3,2,652,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.13333333333333333,4,2,653,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.16666666666666666,5,2,654,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.19999999999999998,6,2,655,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.2333333333333333,7,2,656,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.26666666666666666,8,2,657,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.3,9,2,658,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.3333333333333333,10,2,659,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.36666666666666664,11,2,660,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.39999999999999997,12,2,661,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.4333333333333333,13,2,662,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.4666666666666666,14,2,663,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.49999999999999994,15,2,664,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.5333333333333333,16,2,665,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.5666666666666667,17,2,666,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.6,18,2,667,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.6333333333333333,19,2,668,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.6666666666666666,20,2,669,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.7,21,2,670,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.7333333333333333,22,2,671,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.7666666666666666,23,2,672,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.7999999999999999,24,2,673,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.8333333333333333,25,2,674,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.8666666666666666,26,2,675,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.8999999999999999,27,2,676,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.9333333333333332,28,2,677,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.9666666666666666,29,2,678,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]",0.9999999999999999,30,2,679,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.3, 1.0, 0.0, 0.0]","[95.0, -42.82, 116.83, 114.57, -71.24, 184.29, 1.0, 0.0, 0.0]",1.0333333333333332,31,2,680,0
"[95.0, -42.82, 116.83, 114.57, -71.24, 184.29, 1.0, 0.0, 0.0]","[94.99, -42.78, 116.82, 114.55, -71.25, 184.29, 1.0, 0.0, 0.0]",1.0666666666666667,32,2,681,0
"[94.99, -42.78, 116.82, 114.55, -71.25, 184.29, 1.0, 0.0, 0.0]","[94.96, -42.62, 116.75, 114.43, -71.3, 184.29, 1.0, 0.0, 0.0]",1.1,33,2,682,0
"[94.96, -42.62, 116.75, 114.43, -71.3, 184.29, 1.0, 0.0, 0.0]","[94.89, -42.27, 116.61, 114.18, -71.42, 184.27, 1.0, 0.0, 0.0]",1.1333333333333335,34,2,683,0
"[94.89, -42.27, 116.61, 114.18, -71.42, 184.27, 1.0, 0.0, 0.0]","[94.78, -41.65, 116.36, 113.74, -71.62, 184.24, 1.0, 0.0, 0.0]",1.166666666666667,35,2,684,0
"[94.78, -41.65, 116.36, 113.74, -71.62, 184.24, 1.0, 0.0, 0.0]","[94.55, -40.35, 115.84, 112.82, -72.04, 184.18, 1.0, 0.0, 0.0]",1.2000000000000004,36,2,685,0
"[94.55, -40.35, 115.84, 112.82, -72.04, 184.18, 1.0, 0.0, 0.0]","[94.4, -39.53, 115.52, 112.24, -72.3, 184.14, 1.0, 0.0, 0.0]",1.2333333333333338,37,2,686,0
"[94.4, -39.53, 115.52, 112.24, -72.3, 184.14, 1.0, 0.0, 0.0]","[94.15, -38.13, 114.95, 111.26, -72.75, 184.08, 1.0, 0.0, 0.0]",1.2666666666666673,38,2,687,0
"[94.15, -38.13, 114.95, 111.26, -72.75, 184.08, 1.0, 0.0, 0.0]","[93.96, -37.11, 114.55, 110.54, -73.07, 184.03, 1.0, 0.0, 0.0]",1.3000000000000007,39,2,688,0
"[93.96, -37.11, 114.55, 110.54, -73.07, 184.03, 1.0, 0.0, 0.0]","[93.69, -35.6, 113.94, 109.47, -73.56, 183.96, 1.0, 0.0, 0.0]",1.3333333333333341,40,2,689,0
"[93.69, -35.6, 113.94, 109.47, -73.56, 183.96, 1.0, 0.0, 0.0]","[93.31, -33.53, 113.11, 108.0, -74.22, 183.86, 1.0, 0.0, 0.0]",1.3666666666666676,41,2,690,0
