observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[20.237, -66.186, 115.288, 137.098, -93.006, 177.927, 1.0, 1.0, 0.0]",,0.1,3,7,2482,0
"[20.237, -66.186, 115.288, 137.098, -93.006, 177.927, 1.0, 1.0, 0.0]",,0.1,3,7,2482,0
"[20.237, -66.186, 115.288, 137.098, -93.006, 177.927, 1.0, 1.0, 0.0]",,0.1,3,7,2482,0
"[20.237, -66.186, 115.288, 137.098, -93.006, 177.927, 1.0, 1.0, 0.0]",,0.1,3,7,2482,0
"[19.273, 13.587, 121.745, 57.529, -98.568, 177.729, 1.0, 1.0, 0.0]",,0.133333333,4,7,2483,0
"[19.422, 12.988, 130.428, 45.175, -98.049, 177.927, 1.0, 1.0, 0.0]",,0.2,6,7,2485,0
"[19.459, -5.383, 148.532, 46.138, -98.005, 177.900, 1.0, 1.0, 0.0]",,0.233333333,7,7,2486,0
"[19.273, -35.752, 120.662, 96.790, -103.672, 177.731, 1.0, 1.0, 0.0]",,0.233333333,7,7,2486,0
"[27.707, -17.581, 66.978, 164.955, -83.193, 183.352, 1.0, 1.0, 0.0]",,0.233333333,7,7,2486,0
"[27.707, -17.581, 66.978, 164.955, -83.193, 183.352, 1.0, 1.0, 0.0]",,0.233333333,7,7,2486,0
