observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-36.375, -48.311, 141.897, 91.366, -97.213, 182.268, 1.0, 1.0, 0.0]",,0.066666667,2,15,5054,0
"[-36.375, -48.311, 141.897, 91.366, -97.213, 182.268, 1.0, 1.0, 0.0]",,0.066666667,2,15,5054,0
"[-36.375, -48.311, 141.897, 91.366, -97.213, 182.268, 1.0, 1.0, 0.0]",,0.066666667,2,15,5054,0
"[-36.375, -48.311, 141.897, 91.366, -97.213, 182.268, 1.0, 1.0, 0.0]",,0.066666667,2,15,5054,0
"[-36.372, -43.772, 142.763, 85.020, -97.211, 182.270, 1.0, 1.0, 0.0]",,0.1,3,15,5055,0
"[-33.233, -33.628, 139.826, 77.788, -94.092, 182.518, 1.0, 1.0, 0.0]",,0.133333333,4,15,5056,0
"[-32.381, -27.547, 137.352, 74.174, -93.248, 182.593, 1.0, 1.0, 0.0]",,0.133333333,4,15,5056,0
"[-31.810, -21.553, 134.319, 71.210, -92.683, 182.647, 1.0, 1.0, 0.0]",,0.133333333,4,15,5056,0
"[-31.778, -25.678, 121.180, 88.475, -92.665, 182.633, 1.0, 1.0, 0.0]",,0.166666667,5,15,5057,0
"[10.467, -66.810, 110.899, 143.577, -91.974, 179.745, 1.0, 1.0, 0.0]",,0.166666667,5,15,5057,0
