observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[39.32, -53.21, 117.51, 117.27, -117.22, 177.97, 1.0, 1.0, 0.0]","[39.32, -53.22, 117.51, 117.27, -117.22, 177.97, 1.0, 1.0, 0.0]",5.43333333333332,163,0,163,0
"[39.32, -53.21, 117.51, 117.27, -117.22, 177.97, 1.0, 1.0, 0.0]","[39.32, -53.22, 117.51, 117.27, -117.22, 177.97, 1.0, 1.0, 0.0]",5.43333333333332,163,0,163,0
"[39.32, -53.22, 117.51, 117.27, -117.22, 177.97, 1.0, 1.0, 0.0]","[39.35, -53.19, 117.5, 117.24, -117.15, 177.96, 1.0, 1.0, 0.0]",5.46666666666666,164,0,164,0
"[39.35, -53.19, 117.5, 117.24, -117.15, 177.96, 1.0, 1.0, 0.0]","[39.39, -53.14, 117.49, 117.19, -117.03, 177.95, 1.0, 1.0, 0.0]",5.49999999999999,165,0,165,0
"[39.39, -53.14, 117.49, 117.19, -117.03, 177.95, 1.0, 1.0, 0.0]","[39.61, -52.9, 117.44, 116.96, -116.49, 177.92, 1.0, 1.0, 0.0]",5.53333333333332,166,0,166,0
"[39.61, -52.9, 117.44, 116.96, -116.49, 177.92, 1.0, 1.0, 0.0]","[39.81, -52.68, 117.39, 116.75, -115.97, 177.89, 1.0, 1.0, 0.0]",5.56666666666666,167,0,167,0
"[39.81, -52.68, 117.39, 116.75, -115.97, 177.89, 1.0, 1.0, 0.0]","[40.4, -52.03, 117.24, 116.12, -114.45, 177.82, 1.0, 1.0, 0.0]",5.59999999999999,168,0,168,0
"[40.4, -52.03, 117.24, 116.12, -114.45, 177.82, 1.0, 1.0, 0.0]","[40.94, -51.45, 117.11, 115.55, -113.08, 177.74, 1.0, 1.0, 0.0]",5.63333333333332,169,0,169,0
"[40.94, -51.45, 117.11, 115.55, -113.08, 177.74, 1.0, 1.0, 0.0]","[41.15, -51.22, 117.06, 115.34, -112.56, 177.72, 1.0, 1.0, 0.0]",5.66666666666666,170,0,170,0
"[41.15, -51.22, 117.06, 115.34, -112.56, 177.72, 1.0, 1.0, 0.0]","[41.76, -50.56, 116.91, 114.69, -111.0, 177.63, 1.0, 1.0, 0.0]",5.69999999999999,171,0,171,0
"[41.76, -50.56, 116.91, 114.69, -111.0, 177.63, 1.0, 1.0, 0.0]","[42.4, -49.87, 116.76, 114.01, -109.38, 177.55, 1.0, 1.0, 0.0]",5.73333333333332,172,0,172,0
"[42.4, -49.87, 116.76, 114.01, -109.38, 177.55, 1.0, 1.0, 0.0]","[43.04, -49.17, 116.6, 113.34, -107.75, 177.46, 1.0, 1.0, 0.0]",5.76666666666666,173,0,173,0
"[43.04, -49.17, 116.6, 113.34, -107.75, 177.46, 1.0, 1.0, 0.0]","[43.9, -48.25, 116.39, 112.44, -105.57, 177.35, 1.0, 1.0, 0.0]",5.79999999999999,174,0,174,0
"[43.9, -48.25, 116.39, 112.44, -105.57, 177.35, 1.0, 1.0, 0.0]","[44.53, -47.55, 116.23, 111.76, -103.95, 177.26, 1.0, 1.0, 0.0]",5.83333333333332,175,0,175,0
"[44.53, -47.55, 116.23, 111.76, -103.95, 177.26, 1.0, 1.0, 0.0]","[45.16, -46.88, 116.08, 111.1, -102.36, 177.18, 1.0, 1.0, 0.0]",5.86666666666666,176,0,176,0
"[45.16, -46.88, 116.08, 111.1, -102.36, 177.18, 1.0, 1.0, 0.0]","[45.59, -46.41, 115.98, 110.64, -101.26, 177.12, 1.0, 1.0, 0.0]",5.89999999999999,177,0,177,0
"[45.59, -46.41, 115.98, 110.64, -101.26, 177.12, 1.0, 1.0, 0.0]","[46.23, -45.73, 115.82, 109.99, -99.67, 177.04, 1.0, 1.0, 0.0]",5.93333333333332,178,0,178,0
"[46.23, -45.73, 115.82, 109.99, -99.67, 177.04, 1.0, 1.0, 0.0]","[46.85, -45.04, 115.67, 109.31, -98.05, 176.95, 1.0, 1.0, 0.0]",5.96666666666666,179,0,179,0
"[46.85, -45.04, 115.67, 109.31, -98.05, 176.95, 1.0, 1.0, 0.0]","[47.49, -44.35, 115.51, 108.64, -96.43, 176.86, 1.0, 1.0, 0.0]",5.99999999999999,180,0,180,0
"[47.49, -44.35, 115.51, 108.64, -96.43, 176.86, 1.0, 1.0, 0.0]","[47.94, -43.86, 115.4, 108.17, -95.29, 176.8, 1.0, 1.0, 0.0]",6.03333333333332,181,0,181,0
"[47.94, -43.86, 115.4, 108.17, -95.29, 176.8, 1.0, 1.0, 0.0]","[48.77, -42.96, 115.2, 107.29, -93.18, 176.69, 1.0, 1.0, 0.0]",6.06666666666666,182,0,182,0
"[48.77, -42.96, 115.2, 107.29, -93.18, 176.69, 1.0, 1.0, 0.0]","[49.19, -42.51, 115.09, 106.85, -92.11, 176.64, 1.0, 1.0, 0.0]",6.09999999999999,183,0,183,0
"[49.19, -42.51, 115.09, 106.85, -92.11, 176.64, 1.0, 1.0, 0.0]","[50.04, -41.58, 114.89, 105.95, -89.94, 176.52, 1.0, 1.0, 0.0]",6.13333333333332,184,0,184,0
"[50.04, -41.58, 114.89, 105.95, -89.94, 176.52, 1.0, 1.0, 0.0]","[50.46, -41.12, 114.78, 105.5, -88.87, 176.46, 1.0, 1.0, 0.0]",6.16666666666665,185,0,185,0
"[50.46, -41.12, 114.78, 105.5, -88.87, 176.46, 1.0, 1.0, 0.0]","[51.1, -40.43, 114.63, 104.83, -87.24, 176.38, 1.0, 1.0, 0.0]",6.19999999999999,186,0,186,0
"[51.1, -40.43, 114.63, 104.83, -87.24, 176.38, 1.0, 1.0, 0.0]","[51.52, -39.97, 114.52, 104.38, -86.17, 176.32, 1.0, 1.0, 0.0]",6.23333333333332,187,0,187,0
"[51.52, -39.97, 114.52, 104.38, -86.17, 176.32, 1.0, 1.0, 0.0]","[52.38, -39.05, 114.31, 103.48, -84.0, 176.21, 1.0, 1.0, 0.0]",6.26666666666665,188,0,188,0
"[52.38, -39.05, 114.31, 103.48, -84.0, 176.21, 1.0, 1.0, 0.0]","[53.0, -38.37, 114.16, 102.82, -82.41, 176.12, 1.0, 1.0, 0.0]",6.29999999999999,189,0,189,0
"[53.0, -38.37, 114.16, 102.82, -82.41, 176.12, 1.0, 1.0, 0.0]","[53.64, -37.68, 114.01, 102.15, -80.79, 176.04, 1.0, 1.0, 0.0]",6.33333333333332,190,0,190,0
"[53.64, -37.68, 114.01, 102.15, -80.79, 176.04, 1.0, 1.0, 0.0]","[54.07, -37.21, 113.9, 101.69, -79.68, 175.98, 1.0, 1.0, 0.0]",6.36666666666665,191,0,191,0
"[54.07, -37.21, 113.9, 101.69, -79.68, 175.98, 1.0, 1.0, 0.0]","[54.91, -36.29, 113.69, 100.8, -77.54, 175.87, 1.0, 1.0, 0.0]",6.39999999999999,192,0,192,0
"[54.91, -36.29, 113.69, 100.8, -77.54, 175.87, 1.0, 1.0, 0.0]","[55.33, -35.84, 113.59, 100.36, -76.47, 175.81, 1.0, 1.0, 0.0]",6.43333333333332,193,0,193,0
