observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[-115.811, -24.111, 126.983, 76.667, -93.921, 182.076, 0.0, 0.0, 0.0]",,0.133333333,4,5,1910,0
"[-115.811, -24.111, 126.983, 76.667, -93.921, 182.076, 0.0, 0.0, 0.0]",,0.133333333,4,5,1910,0
"[-115.811, -24.111, 126.983, 76.667, -93.921, 182.076, 0.0, 0.0, 0.0]",,0.133333333,4,5,1910,0
"[-115.811, -24.111, 126.983, 76.667, -93.921, 182.076, 0.0, 0.0, 0.0]",,0.133333333,4,5,1910,0
"[-108.986, 25.080, 120.666, 38.777, -81.163, 181.506, 0.0, 0.0, 0.0]",,0.166666667,5,5,1911,0
"[-109.375, 26.970, 117.658, 39.890, -81.550, 181.481, 0.0, 0.0, 0.0]",,0.2,6,5,1912,0
"[-109.429, 27.500, 117.234, 39.784, -81.603, 181.478, 0.0, 0.0, 0.0]",,0.2,6,5,1912,0
"[-109.429, 27.500, 117.234, 39.784, -81.603, 181.478, 1.0, 1.0, 0.0]",,0.233333333,7,5,1913,0
"[-109.560, 8.088, 102.814, 73.870, -82.075, 181.149, 1.0, 1.0, 0.0]",,0.266666667,8,5,1914,0
"[-49.457, -16.897, 70.687, 162.456, -83.232, 183.346, 1.0, 1.0, 0.0]",,0.266666667,8,5,1914,0
