observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.2333333333333245,157,1,1049,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.266666666666658,158,1,1050,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.299999999999991,159,1,1051,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.333333333333324,160,1,1052,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.366666666666657,161,1,1053,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.399999999999991,162,1,1054,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.433333333333324,163,1,1055,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.466666666666657,164,1,1056,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.49999999999999,165,1,1057,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.5333333333333234,166,1,1058,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.566666666666657,167,1,1059,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.59999999999999,168,1,1060,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.633333333333323,169,1,1061,8
"[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]","[78.66, 4.9, 60.48, 158.6, -85.25, 177.59, 1.0, 0.0, 0.0]",5.666666666666656,170,1,1062,8
