observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0,0,1,235,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.03333333333333333,1,1,236,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.06666666666666667,2,1,237,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.1,3,1,238,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.13333333333333333,4,1,239,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.16666666666666666,5,1,240,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.19999999999999998,6,1,241,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.2333333333333333,7,1,242,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.26666666666666666,8,1,243,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.3,9,1,244,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.3333333333333333,10,1,245,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.36666666666666664,11,1,246,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.39999999999999997,12,1,247,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.4333333333333333,13,1,248,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.4666666666666666,14,1,249,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.49999999999999994,15,1,250,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.5333333333333333,16,1,251,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.5666666666666667,17,1,252,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.6,18,1,253,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.6333333333333333,19,1,254,0
"[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]","[95.0, -42.83, 116.84, 114.58, -71.24, 184.29, 1.0, 0.0, 0.0]",0.6666666666666666,20,1,255,0
